"9648,1,1,0",,,,
"5130,1,2,0",,,,
"10360,1,3,0",,,,
"5130,1,4,0",,,,
"11850,1,5,0",,,,
"11534,1,6,0",,,,
"12375,1,7,0",,,,
"13338,1,8,0",,,,
"13260,1,9,0",,,,
"13588,1,10,0",,,,
"12284,0,0,1",,,,
"3042,0,0,1",,,,
"13728,0,0,1",,,,
"14400,0,0,1",,,,
"5130,0,0,1",,,,
"14320,0,0,1",,,,
"15170,0,0,1",,,,
"4608,0,0,1",,,,
"15438,0,0,1",,,,
"15604,0,0,1",,,,
"15960,0,0,1",,,,
"17889,0,0,1",,,,
"17889,0,0,1",,,,
"5130,0,0,1",,,,
